điểm chất lượng,điểm phục vụ,điểm không gian,điểm giá cả,điểm vị trí,địa điểm,thời gian mở,thời gian đóng,khoảng giá,Tổng bình luận,bình luyện tuyệt vời,bình luận tốt,bình luận trung bình,bình luận kém,Tên nhà hàng
7.9,7.5,7.1,7.0,5.9,ki ốt 4 chung cư n01 ngõ 84 chùa láng quận đống đa hà nội,06:00,22:00,25.000đ - 70.000đ,33,4,20,4,5,bep-cua-me-com-vuong-pho-tron-lau-nuong
7.1,6.7,6.3,6.2,6.1,147e đội cấn quận ba đình hà nội,07:00,22:30,15.000đ - 50.000đ,39,1,22,9,7,funny-monkey-doi-can
8.0,6.9,6.7,6.3,6.2,26 lý thường kiệt quận hoàn kiếm hà nội,06:30,12:00,120.000đ - 1.000.000đ,19,3,10,3,3,thien-di-quan-am-thuc-hong-kong
8.0,7.8,7.2,6.7,6.4,1 nguyễn tư giản quận hoàn kiếm hà nội,17:30,23:00,50.000đ - 150.000đ,89,3,57,27,2,lau-hit-nguyen-tu-gian
7.9,7.3,7.1,7.0,6.7,8 ngõ 81 linh lang quận ba đình hà nội,08:00,23:00,30.000đ - 60.000đ,32,4,20,5,3,to-koffie-thee-honey
8.2,7.8,7.6,7.4,6.9,146 quán thánh quận ba đình hà nội,14:30,22:30,15.000đ - 30.000đ,20,2,13,5,0,che-ba-thom-quan-thanh
7.3,7.0,6.9,6.9,6.8,36 ngõ 65 phạm ngọc thạch quận đống đa hà nội,10:00,22:00,20.000đ - 150.000đ,51,3,34,8,6,oc-ngon-hai-phong-pham-ngoc-thach
8.6,7.9,7.8,7.6,7.0,317 nguyễn khang quận cầu giấy hà nội,07:30,22:00,35.000đ - 55.000đ,329,40,242,44,3,cup-of-tea-cafe-bistro-nguyen-khang
8.4,8.1,8.0,7.5,7.3,170 ngọc khánh p giảng võ quận ba đình hà nội,07:00,23:00,9.000đ - 65.000đ,28,2,23,3,0,highlands-coffee-rose-garden-ngoc-khanh
8.4,8.1,8.1,8.0,7.3,32 chùa láng quận đống đa hà nội,09:00,23:00,20.000đ - 60.000đ,341,108,174,37,22,yu-tang
7.9,7.8,7.7,7.4,6.8,52 54 lý thường kiệt quận hoàn kiếm hà nội,10:00,22:00,250.000đ - 550.000đ,24,5,12,5,2,kimono
7.8,7.3,7.3,6.8,6.1,134 nguyễn tuân quận thanh xuân hà nội,07:00,23:00,25.000đ - 35.000đ,128,9,77,33,9,wang-tea-tra-sua-dai-loan
8.5,8.1,7.6,7.6,7.3,102 b8 tô hiệu quận cầu giấy hà nội,08:00,22:00,100.000đ - 165.000đ,159,22,114,15,8,quan-gia-dinh-lau-nuong-com
7.4,7.1,6.9,6.7,6.6,257 giảng võ quận đống đa hà nội,09:00,21:00,20.000đ - 110.000đ,195,8,119,53,15,kombo-com-nieu-singapore-giang-vo
7.3,6.8,6.7,6.2,6.0,40 ngõ 221 tôn đức thắng quận đống đa hà nội,10:00,15:00,30.000đ - 50.000đ,11,0,9,1,1,bun-cha-ton-duc-thang
7.0,6.7,6.5,6.4,6.2,47 đào duy từ quận hoàn kiếm hà nội,10:00,22:30,30.000đ - 66.000đ,250,7,143,69,31,com-suon-nuong-dao-duy-tu
7.9,7.6,7.6,7.5,6.6,31i láng hạ quận ba đình hà nội,10:30,21:30,30.000đ - 89.000đ,145,7,110,24,4,kampong-chicken-house-lang-ha
7.7,7.6,7.6,7.6,7.2,139 nguyễn chí thanh quận đống đa hà nội,08:30,23:00,25.000đ - 50.000đ,223,54,118,32,19,tra-sua-xinshiqi
8.8,8.1,8.1,6.8,6.7,169 171 hàng bông quận hoàn kiếm hà nội,08:00,22:00,20.000đ - 100.000đ,37,5,27,4,1,beard-papa-s-hang-bong
7.9,7.8,7.5,7.1,7.1,109 triệu việt vương quận hai bà trưng hà nội,10:30,23:00,80.000đ - 165.000đ,84,14,49,16,5,tonchan-mi-nhat
7.8,7.5,7.5,7.3,6.9,157 xã đàn quận đống đa hà nội,08:00,23:00,20.000đ - 55.000đ,148,17,96,23,12,leetee-tea-juice
8.2,8.1,8.0,7.9,7.9,1 tạ hiện quận hoàn kiếm hà nội,09:00,02:00,30.000đ - 70.000đ,76,21,40,12,3,leu-coffee-ta-hien
7.8,7.7,7.4,7.1,6.8,tầng 1 d2 giảng võ quận ba đình hà nội,09:30,21:30,40.000đ - 80.000đ,421,29,309,62,20,tra-sua-gong-cha-giang-vo
7.2,7.2,7.1,7.0,6.7,32 hàng tre quận hoàn kiếm hà nội,11:00,22:30,100.000đ - 300.000đ,12,0,9,2,1,little-india-hang-tre
7.6,7.0,6.5,6.4,6.3,474 xã đàn quận đống đa hà nội,10:00,22:30,100.000đ - 300.000đ,108,7,64,19,18,chai-talay-thai-restaurant
7.3,7.0,6.6,6.4,6.1,115 ô chợ dừa quận đống đa hà nội,,,15.000đ - 45.000đ,42,1,18,22,1,che-thai-yom-o-cho-dua
7.8,7.6,7.6,7.1,6.8,tòa vietcombank lô 3 ô 41 hoàng đạo thúy quận cầu giấy hà nội,08:00,22:00,30.000đ - 300.000đ,36,2,30,4,0,abu-tra-quan
7.8,7.6,7.3,7.1,7.1,33 trần hưng đạo quận hoàn kiếm hà nội,09:00,22:30,199.000đ - 299.000đ,85,9,52,17,7,hotpot-story-tran-hung-dao
5.8,5.7,5.5,5.0,4.8,129 nam đồng quận đống đa hà nội,06:00,23:00,100.000đ - 200.000đ,6,0,2,2,2,ngan-que-thom-phuong
8.2,7.9,7.7,7.5,7.1,9a ngõ 181 xuân thủy quận cầu giấy hà nội,10:00,23:00,50.000đ - 150.000đ,176,20,135,18,2,papa-s-chicken-xuan-thuy
8.0,7.8,7.5,7.4,7.2,34 phan văn trường quận cầu giấy hà nội,08:00,23:00,20.000đ - 60.000đ,67,16,33,12,5,tra-sua-house-of-cha-phan-van-truong
8.1,8.1,7.7,7.3,6.5,64 lương văn can p hàng trống quận hoàn kiếm hà nội,06:30,23:00,35.000đ - 132.000đ,117,11,80,23,3,the-note-coffee-luong-van-can
5.0,5.0,5.0,5.0,5.0,18 nguyễn thị định quận cầu giấy hà nội,,,25.000đ - 200.000đ,1,0,0,1,0,long-heo-dac-biet-nguyen-thi-dinh
7.4,7.2,6.8,6.6,6.1,g20116 vinhome greenbay mễ trì quận nam từ liêm hà nội,08:00,22:00,30.000đ - 100.000đ,57,3,32,16,6,le-castella-viet-nam-banh-bong-lan-dai-loan-nguyen-huu-huan
7.7,7.4,7.0,6.8,5.8,80 hàng khoai quận hoàn kiếm hà nội,19:00,23:00,15.000đ - 32.000đ,20,0,14,4,2,sinh-to-nuoc-ep-hang-khoai
7.5,7.5,7.0,7.0,6.5,53d hàng bài p hàng bài quận hoàn kiếm hà nội,07:00,22:00,50.000đ - 200.000đ,2,0,1,1,0,com-tho-chay-hang-bai
9.9,8.9,8.9,8.9,7.9,42 đường 9 f361 an dương quận tây hồ hà nội,09:00,22:30,100.000đ - 330.000đ,13,9,3,1,0,nha-hang-softwater-tay-ho
6.6,6.0,5.8,5.3,5.1,290 nguyễn trãi quận thanh xuân hà nội,07:30,22:00,15.000đ - 30.000đ,34,0,11,14,9,mit-quan-nguyen-trai
